query_id,query_size,query_num_token,num_result,duration,preproc_duration,num_set_read,num_list_read,num_byte_read,max_set_size_read,max_list_size_read,max_counter_size,max_ignore_size,actions,results,benefit_cost,lsh_duration,lsh_precision
581652,33,33,10,324,1,10,33,0,144,53585,6672,11,,s2455969o32s2648820o32s2622425o32s740765o31s619526o31s1074764o31s1599769o31s2660243o31s1489789o31s994318o31,,0,0
588064,27,23,10,172,1,0,20,0,0,96162,0,1,,s590039o12s586055o11s1496286o7s588065o5s1179910o5s720261o4s587433o4s590032o4s585893o4s870345o4,,0,0
579922,38,38,10,351,1,12,38,0,178,53585,8472,115,,s994318o37s740765o37s2614927o36s2553731o36s2100214o36s2205910o36s1699626o35s2684887o35s619526o35s1599769o34,,0,0
949642,11,11,10,164,0,0,11,0,0,96162,0,1,,s428812o10s949643o9s949639o8s949364o8s428813o8s949638o8s428807o7s1332991o7s949641o7s949637o7,,0,0
1198810,5,5,10,107,1,0,5,0,0,53585,0,1,,s618319o5s1570513o5s1253811o5s1649720o5s1811083o5s676896o5s2283538o5s2492772o5s1823343o5s2166776o5,,0,0
803295,9,9,10,170,1,0,9,0,0,96162,0,1,,s281086o8s1630847o7s928666o4s1427927o4s1540469o4s281021o4s2354387o3s872841o3s2343424o3s2081313o3,,0,0
695621,21,19,10,142,1,0,19,0,0,96162,0,1,,s621529o15s429799o12s1424491o11s621528o11s1609146o9s350780o9s209308o9s160376o9s396419o9s69649o9,,0,0
1542774,7,7,10,138,1,0,3,0,0,96162,0,1,,s390886o6s1425327o1s632854o1s1159021o1s1535379o1s2084694o1s2695680o1s697349o1s685577o1s1522204o1,,0,0
695387,19,19,10,162,1,0,19,0,0,96162,0,1,,s2175o16s685778o11s2691955o11s621529o11s172461o9s737090o9s497036o9s2378846o8s363368o8s1596496o7,,0,0
1307578,9,9,10,110,1,0,9,0,0,53585,0,1,,s2421043o7s1626822o7s2421651o7s2663787o7s2663790o7s2421039o7s2421051o7s2421032o7s1745655o7s2421052o7,,0,0
911403,29,28,10,155,1,0,3,0,0,96162,0,1,,s244987o27s1920750o1s2420707o1s914481o1s1291089o1s1462313o1s1996447o1s1100431o1s1853968o1s1540299o1,,0,0
829735,11,6,10,161,1,0,5,0,0,96162,0,1,,s923594o6s960607o4s960606o4s960608o4s923595o3s1511108o2s960609o2s1566252o1s1526218o1s1929912o1,,0,0
809437,7,2,10,139,1,0,2,0,0,96162,0,1,,s1385867o2s2567224o1s2054826o1s846974o1s896961o1s1964318o1s806487o1s632009o1s1616026o1s1037923o1,,0,0
1013270,12,12,10,91,1,0,12,0,0,53585,0,1,,s784779o12s782795o12s615865o12s1005159o12s784999o12s2247182o12s1800720o12s1489906o12s632293o12s759933o12,,0,0
949814,11,11,10,172,1,0,11,0,0,96162,0,1,,s1954520o11s1174070o11s2127935o11s1950128o11s949807o11s949817o10s429011o10s2127934o10s1954031o10s949816o10,,0,0
1307574,9,9,10,146,1,0,9,0,0,96162,0,1,,s461723o8s123593o4s96053o4s569552o4s493215o4s595547o4s764349o4s647334o4s646739o4s596513o4,,0,0
1202442,11,11,10,168,1,0,11,0,0,53585,0,1,,s575148o11s1941378o11s1470643o11s664852o11s1893091o11s1874676o11s1464935o11s1485403o11s1592472o11s935413o11,,0,0
954100,5,5,10,174,0,0,5,0,0,96162,0,1,,s1037671o3s1483454o3s1483453o3s1483455o2s1725413o2s1174963o2s1777860o2s998646o2s1615921o2s2149309o2,,0,0
594377,17,17,10,126,1,0,17,0,0,53585,0,1,,s1800727o17s2553731o17s1671970o16s581359o16s2455969o16s580914o16s583738o16s1087802o16s1800753o16s577320o16,,0,0
1544136,12,11,10,152,0,0,3,0,0,96162,0,1,,s391216o10s2347527o1s1573377o1s1214465o1s1297354o1s1538385o1s2016908o1s1806090o1s2311064o1s1949681o1,,0,0
950731,11,11,10,190,1,0,11,0,0,96162,0,1,,s2127934o11s1955783o10s557614o10s1954031o10s1950560o10s1954520o10s1950128o10s2127935o10s1946379o9s1954033o9,,0,0
1307567,5,5,10,236,1,0,5,0,0,96162,0,1,,s305367o4s77791o4s12643o4s310034o4s699923o4s420139o4s254906o4s333143o4s916057o4s83305o4,,0,0
949818,11,11,10,168,1,0,11,0,0,96162,0,1,,s1954520o11s1954031o11s949807o11s1950128o11s1950560o10s949814o10s2127934o10s429012o10s1174070o10s2127935o10,,0,0
695387,19,19,10,140,1,0,19,0,0,53585,0,1,,s2007893o19s1019638o19s1026031o17s2175o16s1811456o15s2482477o14s1847521o14s695621o14s744367o14s1558194o14,,0,0
585594,52,44,10,166,1,4,41,0,559,96162,35,5,,s594303o27s586373o26s585241o23s584231o22s587433o19s590715o19s584753o18s584228o17s584826o10s589686o10,,0,0
585242,9,9,10,199,1,0,9,0,0,53585,0,1,,s1891460o9s2455969o9s1739592o9s2205911o9s1774144o9s582915o9s1229023o9s1404031o9s2201089o9s1306230o9,,0,0
615623,6,6,10,153,0,0,6,0,0,96162,0,1,,s360796o5s347739o4s167000o3s1088753o3s122990o3s2394675o3s166995o3s166994o3s2026953o3s1522071o3,,0,0
1543664,11,11,10,124,0,0,11,0,0,53585,0,1,,s1543272o10s1544396o10s1544136o10s1544148o10s996621o10s1543289o10s1544125o9s2645514o9s897360o9s1543672o9,,0,0
1471788,9,9,10,110,1,0,9,0,0,53585,0,1,,s2420372o8s2420360o8s2421032o8s2420368o8s2421040o8s2420364o8s2421025o8s2421044o8s2428015o7s2421046o7,,0,0
894473,8,8,10,368,1,0,8,0,0,96162,0,1,,s2109003o5s788457o5s1053646o5s2002632o5s705508o5s827370o5s1251974o5s420946o5s969168o5s1031933o5,,0,0
1541189,6,6,10,86,1,0,6,0,0,53585,0,1,,s1541216o6s1541055o6s1541200o6s1541246o6s1541164o6s1541125o6s1540480o5s1543260o5s2106087o5s1543651o5,,0,0
921455,11,11,10,179,1,0,11,0,0,96162,0,1,,s1843200o8s1824900o8s361564o8s14424o7s449958o7s1321122o7s961538o6s1540308o5s1007604o5s868521o5,,0,0
825057,11,11,10,143,1,0,11,0,0,53585,0,1,,s1107477o11s730656o11s734729o11s684402o11s2283538o11s1821517o11s2438972o11s898590o11s1008697o11s806997o11,,0,0
1544126,7,7,10,174,0,0,3,0,0,96162,0,1,,s391201o6s951892o1s1114006o1s2356365o1s842566o1s1085023o1s2071255o1s1684770o1s820874o1s1824945o1,,0,0
950729,11,11,10,312,1,0,11,0,0,53585,0,1,,s1205261o11s1676535o11s2047491o11s1186356o11s1082019o11s798965o11s1817861o11s1507378o11s1351452o11s2165965o11,,0,0
1080529,13,13,10,132,1,0,13,0,0,53585,0,1,,s1080522o13s1080521o13s1080527o13s2193466o12s1080547o12s1080532o11s2056215o10s828898o10s2327016o10s807904o10,,0,0
662712,10,6,10,166,1,0,6,0,0,96162,0,1,,s2245287o2s623177o2s1342903o2s2082804o2s1857291o2s1136145o2s2037813o2s2440826o2s756831o2s2667989o2,,0,0
577177,20,20,10,242,1,0,20,0,0,53585,0,1,,s581268o20s1800754o20s1041499o19s618318o19s2695785o19s1671970o19s994318o19s788565o18s583738o18s581762o18,,0,0
